what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455347949547
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455347952127
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348046614
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455348072824
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348074455
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348122120
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455348139176
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348141610
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348275719
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348306078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348340633
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455348355575
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455348409743
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455348436722
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348438771
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348457467
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455348463138
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348465535
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348547887
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455348564812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348575173
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348681436
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1455348725916
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455348732937
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455348818932
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455348820758
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455348823583
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348825135
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348859435
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455348872272
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348877368
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348963363
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455348973690
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455348974964
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455349317590
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455349322116
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455349323682
started,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1455349323800
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455349323821
started,bundle,org.eclipse.rse.services,3.1.1.v200909160005,"org.eclipse.rse.services",1455349323873
started,bundle,org.eclipse.rse.core,3.1.1.v200909160005,"org.eclipse.rse.core",1455349323896
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455349324001
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455349324089
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090610-1638,"org.eclipse.dltk.testing",1455349324710
stopped,bundle,org.eclipse.dltk.debug.ui,1.0.1.v20091111-1837,"org.eclipse.dltk.debug.ui",1455349324748
